Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/3/2000,INFOSYSTCH,EQ,14467.75,15625,15625.2,15625,15625.2,15625.2,15625.18,5137,8026657140000,,,
1/4/2000,INFOSYSTCH,EQ,15625.2,16800,16875.25,16253,16875.25,16855.9,16646.38,56186,93529374750000,,,
1/5/2000,INFOSYSTCH,EQ,16855.9,15701,16250,15507.45,15507.45,15507.45,15786.38,164605,259851640715000,,,
1/6/2000,INFOSYSTCH,EQ,15507.45,15256.65,15300,14266.85,14266.85,14266.85,14462.82,81997,118590794075000,,,
1/7/2000,INFOSYSTCH,EQ,14266.85,13125.5,13125.5,13125.5,13125.5,13125.5,13125.5,7589,9960941950000,,,
1/10/2000,INFOSYSTCH,EQ,13125.5,13125.5,14175.5,12075.5,13750,13757.3,13270.6,236175,313418481875000,,,
1/11/2000,INFOSYSTCH,EQ,13757.3,13200,13800,12656.75,12656.75,12656.75,12885.28,122331,157626976990000,,,
1/12/2000,INFOSYSTCH,EQ,12656.75,11950,13349,11766,13010,13077.55,12873.99,203074,261437329065000,,,
1/13/2000,INFOSYSTCH,EQ,13077.55,13100,13149,12031.35,12033,12090.6,12529.38,156550,196147474930000,,,
1/14/2000,INFOSYSTCH,EQ,12090.6,12249,12297,11203,12170,12176.4,11896.77,125313,149081962870000,,,
1/17/2000,INFOSYSTCH,EQ,12176.4,12200,12885,11720,11773,11870.9,12210.99,141351,172603581345000,,,
1/18/2000,INFOSYSTCH,EQ,11870.9,11739.7,12169,11325,11930,11935.65,11818.44,158523,187349462225000,,,
1/19/2000,INFOSYSTCH,EQ,11935.65,12546,12890.5,12420,12890.5,12889.85,12765.4,156209,199407049190000,,,
1/20/2000,INFOSYSTCH,EQ,12889.85,13200,13551,12611,12739,12747.05,13196.1,154520,203906101610000,,,
1/21/2000,INFOSYSTCH,EQ,12747.05,12900,13590,12503,13550,13420.2,13122.91,162391,213104283050000,,,
1/24/2000,INFOSYSTCH,EQ,13420.2,13600,14489,13600,13840.1,13878.8,14027.99,197315,276793342375000,,,
1/25/2000,INFOSYSTCH,EQ,13878.8,13800,14250,13400.05,14190,14109.4,13923.52,159919,222663487530000,,,
1/27/2000,INFOSYSTCH,EQ,14109.4,7570,7600,7293,7405,7390.75,7464.8,202403,151089871040000,,,
1/28/2000,INFOSYSTCH,EQ,7390.75,7426,7699,7426,7625,7611.55,7592.45,270024,205014462325000,,,
1/31/2000,INFOSYSTCH,EQ,7611.55,7535.5,7544,7127,7218,7221.7,7396.24,118723,87810438415000,,,
2/1/2000,INFOSYSTCH,EQ,7221.7,7250,7450,7150,7440,7417.4,7345.05,110241,80972541695000,,,
2/2/2000,INFOSYSTCH,EQ,7417.4,7590,7700,7349.5,7370,7365.8,7447.18,148305,110445401580000,,,
2/3/2000,INFOSYSTCH,EQ,7365.8,7416,7510,7370,7465,7440.8,7437,94251,70094466929999.9,,,
2/4/2000,INFOSYSTCH,EQ,7440.8,7475,7950,7475,7860.25,7896.95,7800.28,315261,245912534710000,,,
2/7/2000,INFOSYSTCH,EQ,7896.95,7899,8528.75,7899,8480,8496.2,8327.43,265447,221049041065000,,,
2/8/2000,INFOSYSTCH,EQ,8496.2,8495,9150,8495,8920,8898.2,8952.29,232856,208459355935000,,,
2/9/2000,INFOSYSTCH,EQ,8898.2,9399,9399,8600,8660,8709.75,8890.93,165555,147193837375000,,,
2/10/2000,INFOSYSTCH,EQ,8709.75,8799,9275,8799,9180,9209,9052.1,293402,265590367944999,,,
2/11/2000,INFOSYSTCH,EQ,9209,9269,9945.75,9269,9945.75,9945.75,9935.78,32816,32605252985000,,,
2/14/2000,INFOSYSTCH,EQ,9945.75,10741.45,10741.45,10741.45,10741.45,10741.45,10741.45,23733,25492683285000,,,
2/15/2000,INFOSYSTCH,EQ,10741.45,10741.45,10741.45,9882.15,9882.15,9961.75,10041.95,333437,334835701435000,,,
2/16/2000,INFOSYSTCH,EQ,9961.75,10050,10300,9635,9900,10037.85,10027.3,198757,199299508340000,,,
2/17/2000,INFOSYSTCH,EQ,10037.85,10000,10800,10000,10298,10298.3,10436.85,189457,197733359545000,,,
2/18/2000,INFOSYSTCH,EQ,10298.3,10419,10500,9775,9920,9864.6,10075.31,166067,167317595280000,,,
2/21/2000,INFOSYSTCH,EQ,9864.6,9850,10500,9701,10220,10254.75,10239.38,277368,284007652470000,,,
2/22/2000,INFOSYSTCH,EQ,10254.75,10339,10339,9750,9789,9830.1,9940.6,188540,187420019975000,,,
2/23/2000,INFOSYSTCH,EQ,9830.1,10500,10500,9043.7,9300,9214.95,9664.47,186634,180371783250000,,,
2/24/2000,INFOSYSTCH,EQ,9214.95,9390,9649,8988,9400,9297,9327.21,129070,120386296955000,,,
2/25/2000,INFOSYSTCH,EQ,9297,9400,9489.85,8850,8985,8987.2,9206.52,77029,70916888740000,,,
2/28/2000,INFOSYSTCH,EQ,8987.2,8900,8900,8268.25,8555,8509.7,8417.28,119006,100170660935000,,,
2/29/2000,INFOSYSTCH,EQ,8509.7,8600,9190.5,8350,8700,8779.4,8933.35,250497,223777840335000,,,
3/1/2000,INFOSYSTCH,EQ,8779.4,9099,9481.75,9000,9481.75,9481.75,9372.07,98216,92048696335000,,,
3/2/2000,INFOSYSTCH,EQ,9481.75,10134.75,10240.3,9932.1,10240.3,10240.3,10226.19,25110,25677971640000,,,
3/3/2000,INFOSYSTCH,EQ,10240.3,11059.55,11059.55,11059.55,11059.55,11059.55,11059.55,26691,29519044905000,,,
3/6/2000,INFOSYSTCH,EQ,11059.55,11939.65,11944.35,10560,11944.35,11944.35,11920.08,21653,25810558400000,,,
3/7/2000,INFOSYSTCH,EQ,11944.35,12800,12899.9,12800,12899.9,12899.9,12899.72,54333,70088027670000,,,
3/8/2000,INFOSYSTCH,EQ,12899.9,13450,13931.9,11985,12400,12315.05,13334.7,350512,467397300770000,,,
